user|artist_uri|artist_name|total_followers|genres
3|0OcclcP5o8VKH2TRqSY2A7|Howard Shore|377916|['canadian classical', 'canadian soundtrack', 'middle earth', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']
3|3oKRxpszQKUjjaHz388fVA|Parcels|536459|['aussietronica', 'indie soul']
3|24icoQNJSEWNu3XvqKBR68|Jordan Rakei|291238|['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'soul']
3|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|246016|['alternative dance', 'experimental pop', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave']
3|0YC192cP3KPCRWx8zr8MfZ|Hans Zimmer|2942371|['german soundtrack', 'orchestral soundtrack', 'soundtrack']
3|09s6bLEw45wioK9ytf3nsA|Westerman|40198|['uk alternative pop']
3|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|430394|['indie soul', 'uk contemporary r&b']
3|53XhwfbYqKCa1cC15pYq2q|Imagine Dragons|39337972|['modern rock', 'rock']
3|59oA5WbbQvomJz2BuRG071|Jungle|735381|['indie soul', 'uk contemporary r&b']
3|3gd8FJtBJtkRxdfbTu19U2|Mumford & Sons|6266878|['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']
3|2iSn12gFykgv92aTvPiH4s|HAUSER|173126|['classical cello']
3|47mIJdHORyRerp4os813jD|League of Legends|1385889|['speedrun', 'video game music']
3|6ltzsmQQbmdoHHbLZ4ZN25|Lord Huron|1034350|['indie folk', 'stomp and holler']
3|4oDjh8wNW5vDHyFRrDYC4k|Loyle Carner|480988|['indie soul', 'london rap', 'uk alternative hip hop']
3|6WYhTsOkDtjLcZlwSrpBGm|Nathaniel Drew X Tom Fox|5036|[]
3|4j56EQDQu5XnL7R3E9iFJT|Young the Giant|1388415|['modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']
3|58R31AvN8JMHM7xkNpVLjX|Alexis Ffrench|110062|['compositional ambient', 'neo-classical']
3|03GruNQP8X25PCoWzdvIGZ|Klaus Badelt|101883|['german soundtrack', 'orchestral soundtrack', 'soundtrack']
3|4gzpq5DPGxSnKTe4SA8HAU|Coldplay|35117098|['permanent wave', 'pop']
3|1hCkSJcXREhrodeIHQdav8|Ramin Djawadi|512849|['german soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']
3|0mWi0Jr9Ir8GPGVBpQqI1W|Karin Borg|7214|['background music', 'focus']
3|7cfhZmKaLWzNLwHDxzugUH|Little Comets|80177|['british indie rock']
3|1uiEZYehlNivdK3iQyAbye|Tom Misch|1001040|['indie soul', 'jazz pop']
3|536BYVgOnRky0xjsPT96zl|Two Door Cinema Club|2144489|['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'pop rock', 'rock']
3|1csBgT42N4pPPs1HJhxXIK|Thomas Newman|201579|['orchestral soundtrack', 'soundtrack']
3|5HxKnkQbaDADLFl2ZOAKqk|Patrik Pietschmann|84162|[]
3|2uFUBdaVGtyMqckSeCl0Qj|Ludovico Einaudi|2677245|['bow pop', 'compositional ambient', 'neo-classical']
3|4dwdTW1Lfiq0cM8nBAqIIz|Of Monsters and Men|3337117|['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']
3|3dRfiJ2650SZu6GbydcHNb|John Williams|1107707|['orchestral soundtrack', 'soundtrack']
3|1yLIaxyVkZnLMXhfRSYEjV|Johannes Bornlöf|43691|['focus']
3|2mVVjNmdjXZZDvhgQWiakk|Khruangbin|1136313|['neo-psychedelic']
3|6zFYqv1mOsgBRQbae3JJ9e|Billy Joel|4206935|['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']
3|3PhL2Vdao2v8SS8AptuhAr|James Horner|260489|['orchestral soundtrack', 'soundtrack']
3|4lxfqrEsLX6N1N4OCSkILp|Phil Collins|4417861|['mellow gold', 'rock drums', 'soft rock']
3|71jzN72g8qWMCMkWC5p1Z0|Alexandre Desplat|278190|['french soundtrack', 'orchestral soundtrack', 'soundtrack']
3|0Ya43ZKWHTKkAbkoJJkwIB|The Wombats|981315|['liverpool indie', 'modern alternative rock', 'modern rock', 'rock']
3|2SrSdSvpminqmStGELCSNd|Stormzy|2465470|['grime', 'uk hip hop']
3|3ZKyADicHqelBDeADLutiu|Flyte|39950|['english indie rock', 'indie pop']
3|09kXLeOXRyfNQMXRaDO4qA|Nilüfer Yanya|121211|['art pop', 'chamber psych', 'uk alternative pop']
3|1YZhNFBxkEB5UKTgMDvot4|Lang Lang|193567|['chinese classical performance', 'chinese classical piano', 'classical performance', 'classical piano']
3|6eUKZXaKkcviH0Ku9w2n3V|Ed Sheeran|95345034|['pop', 'uk pop']
3|24eDfi2MSYo3A87hCcgpIL|Ludwig Goransson|132905|['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']
3|3EAHF3jdnHHdko5DBrhRUP|John Powell|166680|['british soundtrack', 'orchestral soundtrack', 'soundtrack']
3|246dkjvS1zLTtiykXe5h60|Post Malone|36509659|['dfw rap', 'melodic rap', 'rap']
3|4yvcSjfu4PC0CYQyLy4wSq|Glass Animals|2687230|['gauze pop', 'indietronica', 'shiver pop']
3|6qqNVTkY8uBg9cP3Jd7DAH|Billie Eilish|60183732|['art pop', 'electropop', 'pop']
3|2HGAZDmVV3GAH4XFAZdvSG|Isaac Delusion|97683|['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic', 'new french touch', 'nouvelle chanson francaise']
3|4AQrqVz6BYwy29iMxcGtx7|Roosevelt|210753|['alternative dance', 'indie emo', 'indie soul', 'nu disco', 'shiver pop', 'vapor soul']
3|4EzkuveR9pLvDVFNx6foYD|James Bay|3613438|['modern rock', 'neo mellow', 'pop', 'pop rock']
3|4kLvhMAuCloLxoP1aVM7Lr|Michael Giacchino|255421|['orchestral soundtrack', 'soundtrack']
4|5K4W6rqBFWDnAN6FQUkS6x|Kanye West|16946323|['chicago rap', 'rap']
