user|track_uri|track_name|artist_uri|artist_name|album_uri|album_name
1|1IMPC74Kr5PCOmhwdjC22j|I Saw Her Kiss Him in Front of Me and I Was Like Wtf?|37YzpfBeFju8QRZ3g0Ha1Q|DJ Seinfeld|5DlpzmONGJYLOUBcHvjfSM|Time Spent Away From U
1|2aNOkWge7L1IubHjS9dkgL|Time for a Change|49R1WTcCcbyOpl3g8YDJU6|Benita|4reo75rXpm9ZpIrw5wK1y2|Time for a Change
1|5vWy90WX1eyfFUxnKcKSY9|Butterflies|2o7L9DNcmzocYll1o0GGTU|Leon Vynehall|5JyzoQIeXel4bM8tHEwkfW|Butterflies / This is the Place
1|3DKCTIiJ97bS9TGiqcABjo|Thiago Silva|6Ip8FS7vWT1uKkJSweANQK|Dave|6JYMpRz7M9T2JlkjKHmsdc|Thiago Silva
1|54TgI46OnNqcf0SyzQyCL6|Atlas|73A3bLnfnz5BoQjb4gNCga|Bicep|0EdtTRCl3J22AnWrNpH1w9|Isles
1|5kAwEqCAJ4yHdHmlAMSczs|These Are Just Places To Me Now|6pJY5At9SiMpAOBrw9YosS|Folamour|3na24PKpM5Bh0xwvIcpPms|Ordinary Drugs
1|4v0xLhFpCwzMbkr3Pi4rFF|Haze|02ZCVD3nqfqNId8lvpvCBb|BOP|58GqrBEuwUgc6bLCtjnaFt|Dream On
1|3JDsYB8UxGbMQNnNlAeDL0|Envelopes (Chapter VI) - Edit|2o7L9DNcmzocYll1o0GGTU|Leon Vynehall|1A6VtF2OjVmEKErfTrNZYJ|Envelopes
1|75G7fv2RaXXHhJquge8el4|Red Velvet|5pL8Q5xbDLEDE6JvYMXX9u|Nu:Logic|6MzcHgrr8goFUrmGdOrKb2|Somewhere Between The Light
1|0s2HlRZzjWlhmfLdp4rDEy|Gettin' It Done|1Ma3pJzPIrAyYPNRkp3SUF|Ross from Friends|6c94J2yum9wHxmbSB27YXE|You'll Understand
1|4sWJCVOn705QUBCDt81bPB|O'Neal|2tEyBfwGBfQgLXeAJW0MgC|Baltra|1meEABy5Nr83dO5CZ3Qf5u|Rearview EP
1|0Ti5dBBZUpK0XRb0iabhtI|Emerald City|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|6flyNGuaD68IYuEVNGwqkh|Colourspace
1|3NVuffIbZCOXgRsM4eS0fo|Infinitas|3CkM2290WOa2ESzhlu5mzM|Shanti Celeste|4olQWXC3W8iaZfzGyzkN0Y|Tangerine
1|0fgdLj6TQmB6OV2zwaAndB|Sesame|3CkM2290WOa2ESzhlu5mzM|Shanti Celeste|4olQWXC3W8iaZfzGyzkN0Y|Tangerine
1|3LcknqF77tB6aujEAEVjX2|Doobies - Original Mix|5GyUtaUuEnR7uhRF3jDj4s|Moomin|120ozXpjN4VsLf74eVQ8TO|The Story About You
1|3iEycGSA32xeOQnDltNTZk|Providence|7LzWa2AUty3RU0znyhG70N|Mohican Sun|0nMSpPdITwRrpzvBBjVByd|Fixation
1|4cpUsHfE4q4Amwkc2OO6xI|About Time|3KOHpygRuo1ruQAbEneR3t|George FitzGerald|1v6BipCE7YBMOBcAN0j0EH|Fading Love
1|7s2ya9MwplKU6zogZYkxVH|Weed & Rum|3jNkaOXasoc7RsxdchvEVq|Chase & Status|5TL5mPJjOPiQCcZzEpfuaU|RTRN II JUNGLE
1|3ci50Uo5nIeoS7vRFDolwJ|Shudder|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|2GlEPxglf73hK8VPTNuK3V|City Soul
1|5UanRSNw6tqDNqczV7SDqT|One Day At A Time|7pDBRy9uWy1zq5b0uXIABQ|Nu:Tone|5Jd375gdtvoIJmrzc2aYJb|Little Spaces
1|2T0bSlNbNY8mFy1UbK1tTV|Lucid|33CVzI4YFK6YBZsuxjKhHR|Phaction|5F6QAb3h5OcviQtVJDd4tV|Stratos EP
1|1eCyb7V10a2lqcA49JaHnU|Blinded|6gnohqGISFUVpTSqT3TtiO|Dawn Wall|27G11z8Aco6n1IAbONn0ES|Devil's Night EP
2|0DeCgH8St1bnHVry9gecMp|BMW|5SRr4ZJMoygWecytkIwlaV|Bad Boy Chiller Crew|3U3FSuGS2CXktQD4fU78gM|BMW
2|0IuVhCflrQPMGRrOyoY5RW|she's all i wanna be|45dkTj5sMRSjrmBSBeiHym|Tate McRae|51oWPUjnGhecw62V8LDXK8|she's all i wanna be
