user|artist_name|artist_uri
4|MJ Duke|4FqWInziQnhpDVKaMLAzkY
4|Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z
4|Spencer Flay|46IxhJGbFfxwNEUu0GKfUQ
4|Blade Brown|4E0mDf341TLViBbNefSrsK
4|JAY-Z|3nFkdlSjzX9mRTtwJOzDYB
4|Chance the Rapper|1anyVhU62p31KFi8MEzkbf
1|Sigma|01pKrlgPJhm5dB4lneYAqS
1|Hybrid Minds|05lF0DUkLJqiW5o70SScyR
1|Rameses B|06EfEcjc0vdvI6VNL0soIO
1|Modjo|0AkpPlFLnr0VQwZQeMGht0
1|Kornél Kovács|0Ij7th9uWcDVYNAIOn5W22
1|L U C Y|0L18KxnMWgXorB5oVDRGzR
1|Floorplan|0RBnTX5xoVa1bDYt9Qbies
1|Kllo|0RDC2Krd2nmqseGx5C8PQz
1|Wretch 32|0T2sGLJKge2eaFmZJxX7sq
1|Julio Bashmore|0WAZJYudbUpl0EOjvdrnRG
1|Max Cooper|0WSSKmoRbxqLf3MnXInQ2J
1|Ellie Goulding|0X2BH1fck6amBIoJhDVmmJ
1|Trash Boat|0XGJ3GUPwslwFJ66yNbHeh
1|Main Phase|0cVit0XTp4KB738vqWkUZ3
1|Zomby|0e1hn6R8UCfLkpHINwAyXR
1|Lille Høg|0khgxZqgfp5izZVxScEHpm
1|Professor Green|0oJM3iJjMdzgsd4z5VHQvw
1|HAAi|0pkLgeB9j465x1QB2kRoy4
1|Shadow Child|0tMr0e1EQZ0Vci7EHz2bM9
1|Jacques Greene|0ygIgsjUzKivFgxgjQ9iV9
1|Deborah de Luca|144HzhpLjcR9k37w5Ico9B
1|Carl Cox|19SmlbABtI4bXz864MLqOS
1|Daniel Avery|1EULJuDFWpZ9xg4YwtUGGt
1|The Chemical Brothers|1GhPHrq36VKCY3ucVaZCfo
1|CAZZETTE|1IELhvOMg5VQlU7syRm6CS
1|Dark0|1Jehpab4kMvjrpsHcBtYHR
1|SBTRKT|1O10apSOoAPjOu6UhUNmeI
1|Helsinki 78-82|1PlMy2Dkgz9akpHj0MfixR
1|GLXY|1U8nnmbuPk1EpoO7MVgIeT
1|Naughty Boy|1bT7m67vi78r2oqvxrP3X5
1|Murlo|1bm1m4DNLeL1gCr38NzhmD
1|Adam Beyer|1btv9qmIpbp7q1ixCYNdHu
1|Route 94|1dgdvbogmctybPrGEcnYf6
1|Swedish House Mafia|1h6Cn3P4NGzXbaXidqURXs
1|Charlotte de Witte|1lJhME1ZpzsEa5M0wW6Mso
1|XXXY|1m6ICN9lVefrT3WqyB4W1Y
1|Nina Kraviz|1oZmFNkGAT93yD1xX4vTRE
1|Nebraska|1r7iu4v645R7o3bARTQGtn
1|DJ Marky|1rd51IrbtX9DqoU0Zxu4TV
1|Enrico Sangiuliano|1u7DsNFbakULvxnDGtMm90
2|Ellie Goulding|0X2BH1fck6amBIoJhDVmmJ
2|Justin Bieber|1uNFoZAHBGtllmzznpCI3s
2|Bo Burnham|2Waw2sSbqvAwK8NwACNjVo
2|High School Musical Cast|2gUMs9PE8XZVQyzCDqaYmW
2|Peggy Gou|2mLA48B366zkELXYx7hcDN
2|George Ezra|2ysnwxxNtSgbb9t1m2Ur4j
2|Drake|3TVXtAsR1Inumwj472S9r4
2|Lewis Capaldi|4GNC7GD6oZMSxPGyXy4MNB
2|Imagine Dragons|53XhwfbYqKCa1cC15pYq2q
2|Harry Styles|6KImCVD70vtIoJWnq6nGn3
2|TC|6b1Reb7bhjdXtkR7wUYW61
2|Billie Eilish|6qqNVTkY8uBg9cP3Jd7DAH
3|Mystery Jets|09K1H1DgyIXHsMx2j7KTFX
3|The Killers|0C0XlULifJtAgn6ZNCW2eu
3|Rousseau|1Mtd57xUzIfeCexQtWRvgr
3|The Weeknd|1Xyo4u8uXC1ZmMpatF05PJ
3|Jack Garratt|1Zp054Jc86WVKCxKEqZGOA
