artist_name|artist_uri
Rameses B|06EfEcjc0vdvI6VNL0soIO
Modjo|0AkpPlFLnr0VQwZQeMGht0
Kornél Kovács|0Ij7th9uWcDVYNAIOn5W22
L U C Y|0L18KxnMWgXorB5oVDRGzR
Floorplan|0RBnTX5xoVa1bDYt9Qbies
Kllo|0RDC2Krd2nmqseGx5C8PQz
Wretch 32|0T2sGLJKge2eaFmZJxX7sq
Julio Bashmore|0WAZJYudbUpl0EOjvdrnRG
Max Cooper|0WSSKmoRbxqLf3MnXInQ2J
Ellie Goulding|0X2BH1fck6amBIoJhDVmmJ
Trash Boat|0XGJ3GUPwslwFJ66yNbHeh
Main Phase|0cVit0XTp4KB738vqWkUZ3
Zomby|0e1hn6R8UCfLkpHINwAyXR
Lille Høg|0khgxZqgfp5izZVxScEHpm
Professor Green|0oJM3iJjMdzgsd4z5VHQvw
HAAi|0pkLgeB9j465x1QB2kRoy4
Shadow Child|0tMr0e1EQZ0Vci7EHz2bM9
Jacques Greene|0ygIgsjUzKivFgxgjQ9iV9
Deborah de Luca|144HzhpLjcR9k37w5Ico9B
Carl Cox|19SmlbABtI4bXz864MLqOS
Daniel Avery|1EULJuDFWpZ9xg4YwtUGGt
The Chemical Brothers|1GhPHrq36VKCY3ucVaZCfo
CAZZETTE|1IELhvOMg5VQlU7syRm6CS
Dark0|1Jehpab4kMvjrpsHcBtYHR
SBTRKT|1O10apSOoAPjOu6UhUNmeI
Helsinki 78-82|1PlMy2Dkgz9akpHj0MfixR
GLXY|1U8nnmbuPk1EpoO7MVgIeT
Naughty Boy|1bT7m67vi78r2oqvxrP3X5
Murlo|1bm1m4DNLeL1gCr38NzhmD
Adam Beyer|1btv9qmIpbp7q1ixCYNdHu
Route 94|1dgdvbogmctybPrGEcnYf6
Swedish House Mafia|1h6Cn3P4NGzXbaXidqURXs
Charlotte de Witte|1lJhME1ZpzsEa5M0wW6Mso
XXXY|1m6ICN9lVefrT3WqyB4W1Y
Nina Kraviz|1oZmFNkGAT93yD1xX4vTRE
Nebraska|1r7iu4v645R7o3bARTQGtn
DJ Marky|1rd51IrbtX9DqoU0Zxu4TV
Enrico Sangiuliano|1u7DsNFbakULvxnDGtMm90
Justin Bieber|1uNFoZAHBGtllmzznpCI3s
Bo Burnham|2Waw2sSbqvAwK8NwACNjVo
High School Musical Cast|2gUMs9PE8XZVQyzCDqaYmW
George Ezra|2ysnwxxNtSgbb9t1m2Ur4j
Lewis Capaldi|4GNC7GD6oZMSxPGyXy4MNB
Harry Styles|6KImCVD70vtIoJWnq6nGn3
TC|6b1Reb7bhjdXtkR7wUYW61
Mystery Jets|09K1H1DgyIXHsMx2j7KTFX
The Killers|0C0XlULifJtAgn6ZNCW2eu
Rousseau|1Mtd57xUzIfeCexQtWRvgr
The Weeknd|1Xyo4u8uXC1ZmMpatF05PJ
Jack Garratt|1Zp054Jc86WVKCxKEqZGOA
Queen|1dfeR4HaWDbWqFHLkxsg1d
Birdy|2WX2uTcsvV5OnS0inACecP
Kings of Leon|2qk9voo8llSGYcZ6xrBzKx
Catfish and the Bottlemen|2xaAOVImG2O6lURwqperlD
Bon Iver|4LEiUm1SRbFMgfqnQTwUbQ
Sundara Karma|4fgXfJCQnK6c44u4KzAtQP
Keane|53A0W3U0s8diEn9RhXQhVz
Tame Impala|5INjqkS1o8h1imAzPqGZBb
Ben Howard|5schNIzWdI9gJ1QRK8SBnc
Foals|6FQqZYVfTNQ1pCqfkwVFEa
Khalid|6LuN9FCkKOj5PcnpouEgny
Circa Waves|6hl5k4gLl1p3sjhHcb57t2
Paramore|74XFHRwlV6OrjEM0A2NCMF
Eminem|7dGJo4pcD2V6oG8kP0tJRR
Foster The People|7gP3bB2nilZXLfPHJhMdvc
Kendrick Lamar|2YZyLoL8N0Wb9xBt1NhZWg
J Hus|2a0uxJgbvvIRI4GX8pYfcr
Kano|50nN8IFD4xA67fI4jYbLV4
Benny The Butcher|5Matrg5du62bXwer29cU5T
Knucks|6W4vm8P3JFQboO4cvHeqaa
J. Cole|6l3HvQ5sa6mXTsMTB19rO5
Uk Apache|0YE17nrGKTk37bcKpKVUvi
Ghetts|7zJL978NtANOysfGY21ty6
Athena|5zQVK5kEmMGuMqreKxjyNb
Subwave|19UDaks6aMVPdEp8qhO4T9
BAKEY|49du30vgnQZT13tyjnrspT
Benita|49R1WTcCcbyOpl3g8YDJU6
Dave|6Ip8FS7vWT1uKkJSweANQK
Folamour|6pJY5At9SiMpAOBrw9YosS
Bad Boy Chiller Crew|5SRr4ZJMoygWecytkIwlaV
Tate McRae|45dkTj5sMRSjrmBSBeiHym
Liilz|0PfJ0SW9UpzczeHL5hgdwL
Camila Cabello|4nDoRrQiYLoBzwC5BhVJzF
Tiësto|2o5jDhtHVPhrJdv3cEQ99Z
Charlie Puth|6VuMaDnrHyPL1p4EHjYLi7
Sam Fender|6zlR5ttMfMNmwf2lecU9Cc
Lil Tjay|6jGMq4yGs7aQzuGsMgVgZR
ArrDee|7m0BsF0t3K9WQFgKoPejfk
ACRAZE|4pnp4w9g30yLfVIAFnZMRd
Mimi Webb|3GxKJzJK4LpsYGXQrw77wz
Russ Millions|3FoFW2AoUGRHBacC6i4x4p
Em Beihold|7o2ZQYM7nTsaVdkXY38UAA
Aitch|2PJEagPIxaBugeMjIyKVXF
Jax Jones|4Q6nIcaBED8qUel8bBx6Cr
Lost Frequencies|7f5Zgnp2spUuuzKplmRkt7
Belters Only|1H1sDUWSlytzifZTDpKgUA
Fireboy DML|75VKfyoBlkmrJFDqo1o2VY
Charli XCX|25uiPmTg16RbhZWAqwLBy5
Luude|20cmhoGvN0eyzhmsHJH1Mg
Dove Cameron|2W8yFh0Ga6Yf3jiayVxwkE
Wilkinson|6m8itYST9ADjBIYevXSb1r
Becky Hill|4EPJlUEBy49EX1wuFOvtjK
A1 x J1|1WO1hFAkFbeo9tV3uVX7Dy
Antonio Vivaldi|2QOIawHpSlOwXDvSqQ9YJR
Sting|0Ty63ceoRnnJKVEYP0VQpk
Lucio Dalla|25MkkfEousyfp2eyh38FUl
Joesef|28EyduqESEOVMO6vglvaUZ
Charles Bolt|4FX5p8T76gw69sWyPbggCj
M83|63MQldklfxkjYDoUE4Tppz
Sleepy Hallow|6EPlBSH2RSiettczlz7ihV
Conway the Machine|67gqUXxHedeUGDTxwBzdjS
T2|4Q5MS10mWfrDyiXVeAAzVd
Nines|0tPKcpC8yXpfdWXFcN7Vwr
Hansen|1lPtXpdRwjw5S1QcAYUL6c
RAY BLK|0CkbPVBpOwwz9NPPglFKyq
Monsta Boy|0YgabnWomkooWIaTM6VOfE
Kaory|6SmQQGBIM8IcEctLqXanBH
3 Of A Kind|0WG74hoaVTaNb3hx3yRqb1
Polo G|6AgTAQt8XS6jRWi4sX7w49
Smoke DZA|3kf0gOpxWtkyeMNJVDQPtd
Jme|4IZLJdhHCqAvT4pjn8TLH5
Twista|6vbY3hOaCAhC7VjucswgdS
ABBA|0LcJLqbBmaGUft1e9Mm8HV
Young Thug|50co4Is1HCEo8bhOyUWKpn
Juice WRLD|4MCBfE4596Uoi2O4DtmEMz
Matuê|5nP8x4uEFjAAmDzwOEc9b8
ROSALÍA|7ltDVBr6mKbRvohxheJ9h1
Majestic|6QMABvTzixnxzsLYyhqRxI
Bazzi|4GvEc3ANtPPjt1ZJllr5Zl
6ix9ine|7gZfnEnfiaHzxARJ2LeXrf
Pentatonix|26AHtbjWKiwYzsoGoUZq53
Luke Combs|718COspgdWOnwOFpJHRZHS
Rita Ora|5CCwRZC6euC8Odo6y9X8jr
DaBaby|4r63FhuTkUYltbVAg5TQnk
Hailee Steinfeld|5p7f24Rk5HkUZsaS3BLG5F
Little Mix|3e7awlrlDSwF3iM0WBjGMp
A R I Z O N A|7hOGhpa8RMSuDOWntGIAJt
NAV|7rkW85dBwwrJtlHRDkJDAC
Fall Out Boy|4UXqAaa6dQYAk18Lv7PEgX
NF|6fOMl44jA4Sp5b9PpYCkzz
Taylor Swift|06HL4z0CvFAxyc27GXpf02
Lil Peep|2kCcBybjl3SAtIcwdWpUe3
Lil Uzi Vert|4O15NlyKLIASxsJ0PrXPfz
Panic! At The Disco|20JZFwl6HVl6yg8a4H3ZqK
Rod Wave|45TgXXqMDdF8BkjA83OM7z
Adele|4dpARuHxo51G3z768sgnrY
KC Rebell|5p7mWeX4RlvqBCxylfiXdE
Daddy Yankee|4VMYDCV2IEDYJArk749S6m
Camilo|28gNT5KBp7IjEOQoevXf9N
Danny Ocean|5H1nN1SzW0qNeUEZvuXjAj
StaySolidRocky|1XLWox9w1Yvbodui0SRhUQ
Selena Gomez|0C8ZW7ezQVs4URX5aX7Kqx
Wisin|3E6xrwgnVfYCrCs0ePERDz
Joji|3MZsBdqDrRTJihTHQrO6Dq
AC/DC|711MCceyCBcFnzjGY4Q7Un
Marc E. Bassy|3tQx1LPXbsYjE9VwN1Peaa
Dua Lipa|6M2wZ9GZgrQXHCFfjv46we
Elton John|3PhoLpVuITZKcymswpck5b
Jonas Brothers|7gOdHgIoIKoe4i9Tta6qdD
Logic|4xRYI6VqpkE3UwrDrAZL8L
Alvaro Soler|2urF8dgLVfDjunO0pcHUEe
Bomba Estéreo|5n9bMYfz9qss2VOW89EVs2
Halsey|26VFTg2z8YR0cCuwLzESi2
MC Kevin o Chris|2UMj7NCbuqy1yUZmiSYGjJ
Fedez|3pgCLfNbw5ozIfoNsvDU7i
Judy Garland|0hItVPjwJLVZrFqOyIsxPf
Ariana Grande|66CXWjxzNUsdJxJ2JdwvnR
John Legend|5y2Xq6xcjJb2jVM54GHK3t
Anne-Marie|1zNqDE7qDGCsyzJwohVaoX
LISA|5L1lO4eRHmJ7a0Q6csE5cT
Y2K|6USMTwO0MNDnKte5a5h0xx
Justin Timberlake|31TPClRtHm23RisEBtV3X7
BTS|3Nrfpe0tUJi4K4DXYWgMUX
Marshmello|64KEffDW9EtZ1y2vBYgq8T
Kontra K|4lDiJcOJ2GLCK6p9q5BgfK
NOTD|5jAMCwdNHWr7JThxtMuEyy
Bad Bunny|4q3ewBCX7sLwd24euuV69X
J Balvin|1vyhD5VmyZ7KMfW5gqLgo5
Headie One|6UCQYrcJ6wab6gnQ89OJFh
Jack Harlow|2LIk90788K0zvyj2JJVwkJ
Major Lazer|738wLrAtLtCtFOLvQBXOXp
Julia Michaels|0ZED1XzwlLHW4ZaG4lOT6m
Lil Nas X|7jVv8c5Fj3E9VhNjxT4snq
Capital Bra|4WZGDpNwrC0vNQyl9QzF7d
A$AP Rocky|13ubrt8QOOCPljQ2FL1Kca
Bebe Rexha|64M6ah0SkkRsnPGtGiRAbb
Big Sean|0c173mlxpT3dSFRgMO8XPh
Huncho Jack|6extd4B6hl8VTmnlhpl2bY
Morgan Wallen|4oUHIQIBe0LHzYfvXNW4QM
Samra|6h1s4i4XKIYv4ErDelLDN0
Playboi Carti|699OTQXzgjhIYAHMy9RyPD
BLACKPINK|41MozSoPIsD1dJM0CLPjZF
Louis Tomlinson|57WHJIHrjOE3iAxpihhMnp
Maroon 5|04gDigrS5kc9YWfZHwBETP
Lunay|47MpMsUfWtgyIIBEFOr4FE
TWICE|7n2Ycct7Beij7Dj7meI4X0
Anuel AA|2R21vXR83lH98kGeO99Y66
Boef|0Jsk5iYMr5aNjHury7blm1
Gym Class Heroes|4IJczjB0fJ04gs4uvP0Fli
Summer Cem|3drqpTL4sQOckmAfF9i1wg
Lil Tecca|4Ga1P7PMIsmqEZqhYZQgDo
DJ Khaled|0QHgL1lAIqAw0HtD7YldmP
Luciano|3CJKkU0XuElRT1z8rEtIYg
Lil Baby|5f7VJjfbwm532GiveGC0ZK
Marracash|5AZuEF0feCXMkUCwQiQlW7
Moon Taxi|5DK8eK7fjvRsziXzyr3sFA
Kina|4qIVPF0s71ZYW3qzhu5GkF
Beyoncé|6vWDO969PvNqNYHIOW5v0m
Kygo|23fqKkggKUBHNkbKtXEls4
THE ROOP|34G31kGbSQmemVlI0G784o
Niall Horan|1Hsdzj7Dlq2I7tHP7501T4
DJ Snake|540vIaP2JwjQb9dm3aArA4
Machine Gun Kelly|6TIYQ3jFPwQSRmorSezPxX
Maluma|1r4hJ1h58CWwUQe3MxPuau
Sam Fischer|6L1XC7NrmgWRlwAeLJvVtA
Lil Pump|3wyVrVrFCkukjdVIdirGVY
Wiz Khalifa|137W8MRPWKqSmrBGDBFSop
Hayley Williams|6Rx1JKzBrSzoKQtmbVmBnM
Russ|1z7b1Pr1rSlvWRzsW3HOrS
Anitta|7FNnA9vBm6EKceENgCGRMb
The Chainsmokers|69GGBxA162lTqCwzJG5jLp
Mariah Carey|4iHNK0tOyZPYnBU7nGAgpQ
Nat King Cole|7v4imS0moSyGdXyLgVTIV7
Bring Me The Horizon|1Ffb6ejR6Fe5IamqA5oRUF
GAYLE|2VSHKHBTiXWplO8lxcnUC9
Gunna|2hlmm7s2ICUX0LVIhVFlZQ
Lauv|5JZ7CnR6gTvEMKX4g70Amv
Van Halen|2cnMpRsOVqtPMfq7YiFE6K
Luke Christopher|787bCXOIvGeBw0Bc4kEjhD
Migos|6oMuImdp5ZcFhWP0ESe6mG
Grupo F1rmo|1TvpKRrUuwpyfFHRC3OJ6N
Zara Larsson|1Xylc3o4UrD53lo9CvFvVg
Carpenters|1eEfMU2AhEo7XnKgL7c304
jxdn|6Y64EaNqpqcZYTgs4c76gF
Lady Gaga|1HY2Jd0NmPuamShAr6KMms
Anderson .Paak|3jK9MiCrA42lLAdMGUZpwa
Idina Menzel|73Np75Wv2tju61Eo9Zw4IR
PARTYNEXTDOOR|2HPaUgqeutzr3jx5a9WyDV
