artist_name|genres
Ramin Djawadi|orchestral soundtrack
Ramin Djawadi|scorecore
Ramin Djawadi|soundtrack
Ramin Djawadi|video game music
Karin Borg|background music
Karin Borg|focus
Little Comets|british indie rock
Tom Misch|indie soul
Tom Misch|jazz pop
Two Door Cinema Club|indie rock
Two Door Cinema Club|indietronica
Two Door Cinema Club|irish rock
Two Door Cinema Club|modern alternative rock
Two Door Cinema Club|modern rock
Two Door Cinema Club|northern irish indie
Two Door Cinema Club|pop rock
Two Door Cinema Club|rock
Thomas Newman|orchestral soundtrack
Thomas Newman|soundtrack
Patrik Pietschmann|
Ludovico Einaudi|bow pop
Ludovico Einaudi|compositional ambient
Ludovico Einaudi|neo-classical
Of Monsters and Men|folk-pop
Of Monsters and Men|metropopolis
Of Monsters and Men|modern rock
Of Monsters and Men|pop rock
Of Monsters and Men|stomp and holler
John Williams|orchestral soundtrack
John Williams|soundtrack
Johannes Bornlöf|focus
Khruangbin|neo-psychedelic
Billy Joel|classic rock
Billy Joel|folk rock
Billy Joel|mellow gold
Billy Joel|piano rock
Billy Joel|rock
Billy Joel|singer-songwriter
Billy Joel|soft rock
James Horner|orchestral soundtrack
James Horner|soundtrack
Phil Collins|mellow gold
Phil Collins|rock drums
Phil Collins|soft rock
Alexandre Desplat|french soundtrack
Alexandre Desplat|orchestral soundtrack
Alexandre Desplat|soundtrack
The Wombats|liverpool indie
The Wombats|modern alternative rock
The Wombats|modern rock
The Wombats|rock
Stormzy|grime
Stormzy|uk hip hop
Flyte|english indie rock
Flyte|indie pop
Nilüfer Yanya|art pop
Nilüfer Yanya|chamber psych
Nilüfer Yanya|uk alternative pop
Lang Lang|chinese classical performance
Lang Lang|chinese classical piano
Lang Lang|classical performance
Lang Lang|classical piano
Ed Sheeran|pop
Ed Sheeran|uk pop
Ludwig Goransson|nordic soundtrack
Ludwig Goransson|orchestral soundtrack
Ludwig Goransson|soundtrack
John Powell|british soundtrack
John Powell|orchestral soundtrack
John Powell|soundtrack
Post Malone|dfw rap
Post Malone|melodic rap
Post Malone|rap
Glass Animals|gauze pop
Glass Animals|indietronica
Glass Animals|shiver pop
Billie Eilish|art pop
Billie Eilish|electropop
Billie Eilish|pop
Isaac Delusion|electro-pop francais
Isaac Delusion|french indie pop
Isaac Delusion|french indietronica
Isaac Delusion|french psychedelic
Isaac Delusion|new french touch
Isaac Delusion|nouvelle chanson francaise
Roosevelt|alternative dance
Roosevelt|indie emo
Roosevelt|indie soul
Roosevelt|nu disco
Roosevelt|shiver pop
Roosevelt|vapor soul
James Bay|modern rock
James Bay|neo mellow
James Bay|pop
James Bay|pop rock
Michael Giacchino|orchestral soundtrack
Michael Giacchino|soundtrack
Kanye West|chicago rap
Kanye West|rap
MJ Duke|
Potter Payper|uk hip hop
Spencer Flay|
Blade Brown|grime
Blade Brown|uk hip hop
JAY-Z|east coast hip hop
JAY-Z|hip hop
JAY-Z|rap
Chance the Rapper|chicago rap
Chance the Rapper|conscious hip hop
Chance the Rapper|hip hop
Chance the Rapper|pop rap
Chance the Rapper|rap
Sigma|dance pop
Sigma|dancefloor dnb
Sigma|drum and bass
Sigma|edm
Sigma|house
Sigma|pop dance
Sigma|tropical house
Sigma|uk dance
Hybrid Minds|drum and bass
Hybrid Minds|liquid funk
Rameses B|chillstep
Rameses B|complextro
Rameses B|edm
Rameses B|electro house
Rameses B|gaming edm
Rameses B|melodic dubstep
Modjo|disco house
Modjo|filter house
Modjo|vocal house
Kornél Kovács|float house
Kornél Kovács|lo-fi house
Kornél Kovács|swedish electronic
Kornél Kovács|swedish house
L U C Y|experimental club
Floorplan|deep house
Floorplan|disco house
Floorplan|techno
Kllo|alternative r&b
Kllo|aussietronica
Kllo|electropop
Kllo|indie soul
Kllo|vapor soul
Wretch 32|grime
Wretch 32|uk hip hop
Julio Bashmore|bristol electronic
Julio Bashmore|future garage
Julio Bashmore|uk bass
Max Cooper|electronica
Max Cooper|microhouse
Max Cooper|minimal techno
Max Cooper|modular synth
Max Cooper|tech house
Ellie Goulding|dance pop
Ellie Goulding|edm
Ellie Goulding|electropop
Ellie Goulding|indietronica
Ellie Goulding|metropopolis
Ellie Goulding|pop
Ellie Goulding|uk pop
Trash Boat|alternative emo
Trash Boat|anthem emo
Trash Boat|pop punk
Trash Boat|uk pop punk
Main Phase|deep dubstep
Zomby|classic dubstep
Zomby|footwork
Zomby|future garage
Zomby|outsider house
Zomby|uk bass
Zomby|uk garage
Zomby|weightless
Zomby|wonky
Lille Høg|
Professor Green|grime
HAAi|australian experimental
Shadow Child|deep groove house
Shadow Child|house
Shadow Child|minimal tech house
Jacques Greene|canadian electronic
Jacques Greene|electronica
Jacques Greene|float house
Jacques Greene|future garage
Jacques Greene|microhouse
Jacques Greene|uk bass
Jacques Greene|wonky
Deborah de Luca|electra
Deborah de Luca|italian techno
Carl Cox|house
Carl Cox|schranz
Carl Cox|tech house
Carl Cox|uk tech house
Daniel Avery|ambient techno
Daniel Avery|chamber psych
Daniel Avery|electronica
Daniel Avery|float house
Daniel Avery|intelligent dance music
Daniel Avery|microhouse
Daniel Avery|shiver pop
The Chemical Brothers|alternative dance
The Chemical Brothers|big beat
The Chemical Brothers|breakbeat
The Chemical Brothers|electronica
The Chemical Brothers|new rave
The Chemical Brothers|rave
CAZZETTE|complextro
CAZZETTE|edm
CAZZETTE|electro house
CAZZETTE|pop dance
CAZZETTE|pop edm
CAZZETTE|progressive electro house
CAZZETTE|progressive house
CAZZETTE|tropical house
Dark0|deconstructed club
Dark0|escape room
Dark0|future garage
Dark0|new isolationism
Dark0|substep
Dark0|uk bass
Dark0|weightless
SBTRKT|electronica
SBTRKT|electropop
SBTRKT|future garage
SBTRKT|new rave
Helsinki 78-82|
GLXY|deep dnb
GLXY|liquid funk
Naughty Boy|tropical house
Naughty Boy|uk contemporary r&b
Murlo|fluxwork
Murlo|uk bass
Murlo|weightless
Adam Beyer|dark techno
Adam Beyer|minimal techno
Adam Beyer|raw techno
Adam Beyer|schranz
Adam Beyer|swedish electronic
Adam Beyer|swedish techno
Adam Beyer|techno
Route 94|deep groove house
Route 94|house
Route 94|pop dance
Route 94|uk dance
Swedish House Mafia|dance pop
Swedish House Mafia|edm
Swedish House Mafia|electro house
Swedish House Mafia|pop
Swedish House Mafia|pop dance
Swedish House Mafia|progressive electro house
Charlotte de Witte|belgian techno
Charlotte de Witte|electra
XXXY|future garage
XXXY|uk bass
XXXY|vogue
Nina Kraviz|electra
Nina Kraviz|russian electronic
Nina Kraviz|russian techno
Nebraska|deep soul house
DJ Marky|brazilian dnb
DJ Marky|drum and bass
DJ Marky|jazzy dnb
DJ Marky|jump up
DJ Marky|jungle
DJ Marky|liquid funk
DJ Marky|sambass
Enrico Sangiuliano|dark techno
Enrico Sangiuliano|italian techno
Enrico Sangiuliano|minimal techno
Ellie Goulding|dance pop
Ellie Goulding|edm
Ellie Goulding|electropop
Ellie Goulding|indietronica
Ellie Goulding|metropopolis
Ellie Goulding|pop
Ellie Goulding|uk pop
Justin Bieber|canadian pop
Justin Bieber|pop
Bo Burnham|comic
High School Musical Cast|dance pop
High School Musical Cast|post-teen pop
Peggy Gou|electra
Peggy Gou|float house
George Ezra|folk-pop
George Ezra|modern rock
George Ezra|neo-singer-songwriter
George Ezra|pop
George Ezra|pop rock
Drake|canadian hip hop
Drake|canadian pop
Drake|hip hop
Drake|rap
Drake|toronto rap
Lewis Capaldi|pop
Lewis Capaldi|uk pop
Imagine Dragons|modern rock
