track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
My My My!|1YHT1FZv5t3ZFLsVPuy6Rq|0.701|0.458|0.0836|0.000151|102.967|0.00407|204727|1|0.045|-7.749|1|4|audio_features|0.482
Make It Back|2EhJijFUs0WUmNClDBpYJq|0.75|0.387|0.487|0.0|143.019|0.122|102560|1|0.0993|-10.123|0|4|audio_features|0.739
Nonstop|0TlLq3lA83rQOYtrqBqSct|0.912|0.412|0.123|0.0126|154.983|0.0165|238614|7|0.104|-8.074|1|4|audio_features|0.423
MLK Interlude|680qLWCMRfR6evrNNBCE9e|0.649|0.429|0.468|0.0|100.389|0.386|104008|10|0.311|-8.428|0|3|audio_features|0.426
break da law|5ZSIExfQuVv69tw5Qw3yDl|0.904|0.575|0.346|0.0|141.037|0.0493|177748|1|0.256|-7.823|1|4|audio_features|0.359
Palace|3zesxb7sOGbeSwUrzLUP0f|0.345|0.193|0.0328|4.2e-06|77.547|0.74|187157|6|0.117|-10.236|0|4|audio_features|0.268
Whoopty|5vGLcdRuSbUhD8ScwsGSdA|0.719|0.648|0.125|0.0|140.201|0.2|123263|3|0.127|-7.6|0|4|audio_features|0.66
Verdansk|7IPKXYU2rTMnrLW5IZ7ZI5|0.961|0.502|0.312|0.0|117.078|0.28|182285|2|0.145|-8.605|1|4|audio_features|0.536
Meet Me At Our Spot|07MDkzWARZaLEdKxo6yArG|0.773|0.47|0.0299|0.000193|94.995|0.0153|162680|2|0.0851|-7.93|1|4|audio_features|0.399
Save Your Tears|5QO79kh1waicV47BqGRL3g|0.68|0.826|0.0309|1.24e-05|118.051|0.0212|215627|0|0.543|-5.487|1|4|audio_features|0.644
3 Nights|0uI7yAKUf52Cn7y3sYyjiX|0.815|0.518|0.0897|0.0|151.891|0.223|177667|7|0.104|-6.594|0|4|audio_features|0.877
Baby, You Make Me Crazy|1p1SbqeipOd4ezKUpxqaz6|0.513|0.648|0.0994|4.87e-05|169.743|0.00739|207966|5|0.176|-7.714|0|4|audio_features|0.497
Global|7cW1wHpSLYgKWzoWlOCPFJ|0.672|0.565|0.441|0.0|163.827|0.106|169826|1|0.113|-6.504|1|4|audio_features|0.313
Light|7zTx8ePYAmPFQuxP3xlXZn|0.57|0.763|0.0573|2.49e-06|150.088|0.0857|239853|1|0.0932|-4.137|1|4|audio_features|0.43
Lights Up|4jAIqgrPjKLTY9Gbez25Qb|0.575|0.621|0.032|0.0045|101.987|0.0392|172213|10|0.141|-8.165|0|4|audio_features|0.27
Kein Plan|2d3WpbJFBND2vwMJyULdfU|0.878|0.699|0.0464|0.00219|102.01|0.0689|155018|0|0.0753|-5.035|0|4|audio_features|0.78
Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage|5W8HXMOMLtXLz0RGKUtnlZ|0.664|0.692|0.127|0.0|154.924|0.237|257369|1|0.0798|-4.128|0|4|audio_features|0.233
Vossi Bop|44ZJ4hLD5onikKsVLQaILr|0.682|0.653|0.339|0.00116|188.115|0.13|196267|8|0.129|-6.062|1|4|audio_features|0.428
Martin & Gina|1VLtjHwRWOVJiE5Py7JxoQ|0.832|0.534|0.253|0.0|93.924|0.345|132833|1|0.165|-7.813|0|4|audio_features|0.116
Good Guy (feat. Jessie Reyez)|4g32MdRoqwGKQd3NXIRhpU|0.696|0.634|0.281|0.0|89.973|0.244|142192|9|0.437|-6.918|0|4|audio_features|0.728
Escape From LA|1sOW4PuG5X3Ie3EXUhAopJ|0.404|0.524|0.0593|0.00316|145.74|0.0456|355960|5|0.199|-8.996|0|4|audio_features|0.168
Who Shot Cupid?|06LFFPPS7MylCZXps3cO4m|0.758|0.932|0.0372|0.0|125.993|0.0558|214246|3|0.097|-2.809|1|4|audio_features|0.592
Legends|1Knctxx9vGZxpZfF66BIEa|0.594|0.798|0.0844|0.0|142.049|0.115|191840|4|0.143|-5.244|1|4|audio_features|0.381
Panini|2pmhboG1a2XfDiTvMwO8sd|0.703|0.594|0.0752|0.0|153.848|0.342|114893|5|0.123|-6.146|0|4|audio_features|0.475
Throw It Away|0y5gx9hco8okaSecaH22k1|0.841|0.492|0.227|7.27e-05|135.032|0.159|165773|5|0.0803|-7.051|1|4|audio_features|0.279
Gyalchester|6UjfByV1lDLW0SOVQA4NAi|0.877|0.391|0.063|0.000502|131.018|0.0317|189230|1|0.0945|-8.196|1|4|audio_features|0.122
Rolê|50gPsfGHy5OnPauA9455DM|0.678|0.775|0.043|0.0|160.116|0.302|174938|2|0.0718|-4.152|0|4|audio_features|0.96
She|6SQLk9HSNketfgs2AyIiMs|0.535|0.521|0.0272|0.371|140.026|0.000532|362653|0|0.19|-5.942|1|3|audio_features|0.457
Moves|0Fv5N0cHBsl4bzCbollCAS|0.812|0.522|0.257|0.0|75.524|0.0433|142907|2|0.154|-5.287|1|4|audio_features|0.38
T-Shirt|3OG5wVO27N3HtdtxPLpPFt|0.313|0.348|0.0632|1.68e-06|145.614|0.00135|82613|4|0.119|-10.356|0|4|audio_features|0.503
Sans peine|4smLSyGtyNJLPb9J1Iuwsb|0.789|0.657|0.278|0.0|137.079|0.0428|157274|1|0.093|-5.941|1|4|audio_features|0.555
Bipolar|4WzsycqZkpkS48H9AAAGux|0.8|0.693|0.0499|0.0|152.081|0.324|219880|1|0.123|-5.72|1|4|audio_features|0.424
I WANNA BE YOUR SLAVE|4pt5fDVTg5GhEvEtlz9dKk|0.75|0.608|0.0387|0.0|132.507|0.00165|173347|1|0.178|-4.008|1|4|audio_features|0.958
HOLD ME TIGHT OR DON’T|00TVmX9spquyg0UKuN57l3|0.581|0.919|0.05|2.5e-06|95.991|0.0063|210347|6|0.107|-4.324|0|4|audio_features|0.847
Take What You Want (feat. Ozzy Osbourne & Travis Scott)|44pxxRrhiDGuHYP5HjadGF|0.495|0.811|0.0571|0.0|139.925|0.102|229587|1|0.132|-2.649|0|4|audio_features|0.241
Run|1zmgEIHE0eXH0IhBGuoTkP|0.448|0.72|0.0332|0.000292|157.919|0.0427|195000|7|0.614|-3.954|1|3|audio_features|0.361
Saint-Tropez|05mDaV9Vb3wrzjF6OPZnhq|0.617|0.684|0.0439|0.0|132.113|0.0545|150867|0|0.104|-3.618|1|4|audio_features|0.295
New Patek|0Fpen1PTuEnCmOJtUU9Iud|0.85|0.785|0.345|0.0|145.063|0.0367|343099|8|0.155|-4.963|0|4|audio_features|0.718
Sie ruft|4CyCHkhRsDXUeP5K4Y3xjU|0.819|0.507|0.0881|0.00628|130.009|0.482|152013|1|0.105|-7.336|0|4|audio_features|0.634
Hearts Don't Break Around Here|2dfHh7ECGxfNqZTQno09Vk|0.604|0.366|0.0267|0.0|105.177|0.719|248413|7|0.162|-7.881|1|3|audio_features|0.181
Way Bigger|0HNKMJ2EKCaT2EqcCBj1EH|0.752|0.531|0.0568|0.0|131.97|0.0534|196011|1|0.124|-6.236|1|4|audio_features|0.2
Little Engine|4qNWEOMyexn7b8Icyk29t9|0.769|0.811|0.228|0.0|155.081|0.0234|177293|10|0.0451|-4.162|0|4|audio_features|0.76
Downtown|3Ga6eKrUFf12ouh9Yw3v2D|0.775|0.679|0.135|7.26e-05|166.008|0.18|193456|4|0.068|-4.985|0|4|audio_features|0.619
Wenn du mich siehst|3hxJ3qXqg8ysYBF1QmO8Ir|0.751|0.673|0.0824|0.000119|148.101|0.262|173710|5|0.144|-6.855|0|4|audio_features|0.657
idontwannabeyouanymore|40T5GIqQ1CegGm2PTEl8Bu|0.483|0.412|0.0402|0.0|170.163|0.737|203569|7|0.116|-8.461|1|3|audio_features|0.247
Love Scars 3|0AcicReEGm1qcENjqzh1Tg|0.544|0.524|0.0621|0.0|81.982|0.136|129429|8|0.106|-7.914|1|4|audio_features|0.117
Blood On My Jeans|3MmCFghNjzZMn3HKqbVizn|0.868|0.55|0.226|0.0|117.943|0.183|154767|6|0.109|-6.417|1|4|audio_features|0.464
Π. VANTABLACK|2n3dCM1RqyhzH5FZQW4jxA|0.544|0.661|0.526|8.11e-06|77.062|0.182|153707|11|0.383|-8.887|0|4|audio_features|0.347
Surf|1kwnxJNVl7cwcU98RvMBaR|0.828|0.182|0.166|0.0706|147.279|0.754|330507|1|0.15|-13.066|0|4|audio_features|0.231
Liberdade (Quando o Grave Bate Forte)|2QLbRVzixE282JSQjBz2DG|0.81|0.789|0.0498|1.85e-06|129.988|0.0254|150462|6|0.104|-4.032|1|4|audio_features|0.432
Paint It, Black|63T7DJ1AFDD6Bn8VzG6JE8|0.464|0.795|0.0926|0.00244|158.691|0.0493|202267|1|0.399|-9.267|1|4|audio_features|0.612
Hurts 2B Human (feat. Khalid)|2BM7nF0pMIpLQOT04o691Z|0.463|0.62|0.167|0.0|83.031|0.131|202640|7|0.0619|-5.647|1|1|audio_features|0.158
Fancy Like|3ZozFqJJlDBNIm4xqxn2ZD|0.649|0.76|0.0574|0.0|80.018|0.114|161853|1|0.317|-6.487|1|4|audio_features|0.843
Controlla|6F609ICg9Spjrw1epsAnpa|0.607|0.476|0.249|0.0|122.976|0.0773|245227|10|0.113|-11.076|0|5|audio_features|0.347
Olabilir|5b195aHKKd6oTr4f7DoRCo|0.738|0.78|0.0345|2.51e-06|139.914|0.324|208023|6|0.0989|-6.677|1|4|audio_features|0.779
Bläulich|57tck8MCxkY6tcQC6VhahR|0.796|0.687|0.357|0.000443|153.959|0.0633|196230|1|0.118|-7.855|1|4|audio_features|0.222
Ponte Pa' Mi|4C6BlqqMwjFzOXzqpTeoWR|0.878|0.713|0.0948|0.0|92.028|0.0581|202373|5|0.0822|-4.566|0|4|audio_features|0.615
July|5a6pdCHlWS2ekOOQ70QnAr|0.708|0.186|0.0422|0.0|72.541|0.868|156107|9|0.0779|-8.953|0|4|audio_features|0.321
Christmas (Baby Please Come Home)|6bNuwzORFWORu9Ym7dBCPl|0.325|0.759|0.053|0.000362|126.627|0.395|166453|8|0.0773|-7.146|1|4|audio_features|0.36
Get Into It (Yuh)|0W6I02J9xcqK8MtSeosEXb|0.912|0.655|0.162|3.39e-05|91.942|0.315|138293|8|0.0894|-6.029|0|4|audio_features|0.793
Mi Gente (feat. Beyoncé)|7fwXWKdDNI5IutOMc5OKYw|0.705|0.714|0.0792|0.0|104.996|0.0249|209733|11|0.253|-6.39|0|4|audio_features|0.434
The Truth Untold|48XfojJC87VKLlUotYV0Gm|0.57|0.422|0.0422|0.0|113.007|0.372|242293|1|0.127|-7.561|0|4|audio_features|0.169
Strobelite (feat. Peven Everett)|6XGddj522FQRHXEhBtjiJu|0.64|0.864|0.0869|1.55e-06|105.107|0.0409|272667|4|0.136|-4.909|0|4|audio_features|0.497
Rake It Up|6c7D34787LOtPm8tzhsLgH|0.91|0.444|0.344|0.0|149.953|0.022|276333|1|0.137|-8.126|0|4|audio_features|0.53
The Nights|0ct6r3EGTcMLPtrXHDvVjc|0.527|0.835|0.0433|0.0|125.983|0.0166|176658|6|0.249|-5.298|1|4|audio_features|0.654
Kids Turned Out Fine|0qp8MuZNKelOGTK2HPlXBA|0.302|0.669|0.238|3.58e-05|164.8|0.275|183120|1|0.369|-9.404|1|5|audio_features|0.127
Better|4T3fNx3CgwDRRYgmFCbD4J|0.442|0.585|0.0964|0.391|97.565|0.0984|229413|0|0.14|-10.332|0|4|audio_features|0.116
Light My Body Up (feat. Nicki Minaj & Lil Wayne)|3vgNmjuRDnGLxUFGCLkwpm|0.699|0.66|0.0861|0.0|145.937|0.00365|225616|6|0.139|-7.013|0|4|audio_features|0.689
Elegí (feat. Dímelo Flow)|50ZC4PM7hywH27RcCfViau|0.824|0.631|0.0809|0.000116|171.965|0.237|197721|0|0.0531|-2.791|1|4|audio_features|0.678
Pure Water (with Migos)|3j84U36KvLeXNDPv4t5pI8|0.682|0.559|0.127|0.0|202.015|0.174|192471|0|0.344|-5.545|1|4|audio_features|0.137
Shape of You - Galantis Remix|5H7CwzYZ60e7w69tX4ivQN|0.838|0.765|0.0462|0.00021|100.021|0.0514|195988|1|0.0297|-2.332|0|4|audio_features|0.905
YOSHI (feat. Fabri Fibra) - prod. Strage|3Hh0ZcGIqIkSiJVZGLcVLx|0.751|0.66|0.348|0.0|166.809|0.228|211995|8|0.0827|-6.24|1|4|audio_features|0.634
Don't Start Now|3PfIrDoz19wz7qK7tYeu62|0.793|0.793|0.083|0.0|123.95|0.0123|183290|11|0.0951|-4.521|0|4|audio_features|0.679
Reminding Me|7DQXiMeLqiQsy1uqHSk0xc|0.562|0.569|0.0459|0.0|132.797|0.0906|209924|9|0.0846|-4.798|0|4|audio_features|0.261
Do Not Disturb|2KvHC9z14GSl4YpkNMX384|0.618|0.693|0.45|0.0|170.982|0.246|283551|7|0.112|-5.943|0|4|audio_features|0.454
Like To Be You feat. Julia Michaels|5QskYLFPX9y7pLU0VEMNbr|0.736|0.45|0.228|0.0|153.888|0.809|159400|2|0.108|-9.406|1|4|audio_features|0.663
Stupid Love|7yBbV2k2S2uhaQc24NF2xt|0.68|0.825|0.0702|0.000122|117.987|0.00173|193533|8|0.27|-4.296|1|4|audio_features|0.784
Good Life (with G-Eazy & Kehlani)|1Eck97uRMlprKOOJN9oO1E|0.565|0.771|0.213|0.0|168.385|0.00464|225526|1|0.0568|-5.22|1|4|audio_features|0.573
Tiroteo - Remix|4OwhwvKESFtuu06dTgct7i|0.75|0.522|0.0293|0.0|110.427|0.282|321556|9|0.0743|-7.018|1|4|audio_features|0.601
KEIN SCHLAF|6416zJN0FGPmh1Ph4BH2h3|0.606|0.715|0.173|0.000133|174.049|0.294|200493|11|0.124|-5.608|1|4|audio_features|0.393
Fuck it I love you|7MtVPRGtZl6rPjMfLoI3Lh|0.534|0.452|0.0359|0.00165|129.974|0.895|218288|9|0.125|-10.732|0|4|audio_features|0.175
Un Año|5BDP2tky8oMQJPS33frKVp|0.771|0.382|0.0514|0.0|94.931|0.148|164440|1|0.104|-6.808|0|4|audio_features|0.535
El Mismo Aire - con Pablo Alborán|5EbtodsuLbxrFDH6j5avVS|0.483|0.492|0.295|0.0|144.511|0.603|188213|0|0.323|-6.591|0|4|audio_features|0.66
Choker|3ydI3CesHBnaY01Qff9jOr|0.7|0.664|0.0394|1.89e-05|142.009|0.306|223066|7|0.249|-8.211|1|4|audio_features|0.585
Ni Tú Ni Yo (feat. Gente de Zona)|5xMzazov0IHYllrc8U2K6F|0.673|0.907|0.074|0.0|109.04|0.123|215880|1|0.423|-3.716|0|4|audio_features|0.768
Wild Love|6JnRLa50GuHzF0ucg9AGMI|0.443|0.608|0.0669|0.000234|70.124|0.0828|197413|11|0.102|-6.708|0|4|audio_features|0.23
Whip (feat. Travis Scott)|6Z4rmc0uujCpl8yXe3yjgI|0.793|0.399|0.0951|0.0|121.949|0.12|226600|7|0.124|-7.428|1|4|audio_features|0.0379
MOOD 4 EVA (feat. Oumou Sangaré)|7oqftogUN82Q7VNy2TmTJW|0.608|0.709|0.374|0.0|105.742|0.119|272069|7|0.337|-6.175|1|4|audio_features|0.709
LOCO - English Ver.|01QhKtUc12FGw2wX7dMYvv|0.736|0.866|0.211|2.13e-05|101.951|0.00834|191462|1|0.346|-3.053|1|4|audio_features|0.533
Traicionera|5J1c3M4EldCfNxXwrwt8mT|0.776|0.669|0.0638|0.0|91.012|0.142|228467|11|0.219|-4.933|1|4|audio_features|0.661
In My Blood|79jX8RM5CgPqDKdGEKNW9K|0.628|0.715|0.0541|0.0|139.991|0.0524|211600|5|0.119|-7.097|1|4|audio_features|0.429
XSCAPE|0jNFDcGAXPs5ahngmD5R6n|0.403|0.405|0.0431|0.0|100.626|0.602|156248|4|0.239|-7.718|0|4|audio_features|0.0524
Thriller - 2003 Edit|0wQy2OO7jKjm0OOmA7gv3f|0.775|0.852|0.0528|2.35e-05|118.561|0.0892|311440|11|0.823|-4.813|1|4|audio_features|0.836
2/Catorce|0PwFN7vRvY80Hnkoew2x3f|0.768|0.56|0.0859|0.000791|112.084|0.709|205714|3|0.115|-3.497|1|3|audio_features|0.372
In My Mind|0E9ZjEAyAwOXZ7wJC0PD33|0.694|0.77|0.149|1.1e-05|125.905|0.176|184560|6|0.118|-5.335|1|4|audio_features|0.163
Halley's Comet|5XsAal7ZcWg1I5T4NcRjkv|0.403|0.159|0.104|0.0121|72.38|0.961|234761|1|0.34|-16.728|0|4|audio_features|0.0381
Space Legend|2ShRJbppDksFugwquBFyjx|0.593|0.312|0.0405|0.0856|109.9|0.112|64459|2|0.153|-12.735|1|4|audio_features|0.0354
(Fuck A) Silver Lining|3BDxv4ORzOpXAsa4lWVl4i|0.577|0.939|0.108|0.0|105.092|0.0272|168613|1|0.24|-1.352|0|4|audio_features|0.714
MAMMAMIA|78SCmQ8A7KQSMdkem2SwBP|0.767|0.678|0.0686|0.0|142.06|0.000615|186809|1|0.0952|-3.284|0|4|audio_features|0.791
Arrows|6JSryEdVJTZq6YBn3wK2sn|0.515|0.917|0.0417|0.000495|121.989|0.000206|266187|1|0.145|-7.312|1|4|audio_features|0.41
Easier|2txofPPP3lkiNLTUUHeJHS|0.576|0.46|0.246|0.0|176.185|0.476|158099|5|0.107|-4.173|1|4|audio_features|0.625
Beno!|4CYTQpr2jc4uBScYvpEK2w|0.923|0.562|0.304|0.0|144.067|0.0213|153333|1|0.0726|-7.357|1|4|audio_features|0.499
Memories (feat. Kid Cudi)|0Xh6R6XLoTDRBYriQRgkHj|0.547|0.92|0.259|7.63e-06|129.994|0.00192|210853|8|0.257|-3.939|1|4|audio_features|0.372
Celebration Station|25B5fGr9K0VdZJiRFsnMO4|0.748|0.771|0.15|0.0|142.086|0.101|195058|6|0.135|-4.156|1|4|audio_features|0.792
Forever & Always (Piano Version) (Taylor’s Version)|01QdEx6kFr78ZejhQtWR5m|0.546|0.273|0.0308|0.0|118.753|0.819|267833|9|0.137|-9.208|1|4|audio_features|0.271
CHopstix (with Travis Scott)|01DOm09B2AbiTARAbXVI6g|0.958|0.6|0.118|0.0|127.933|0.0391|181153|9|0.274|-6.996|0|4|audio_features|0.607
Dandelions|2eAvDnpXP5W0cVtiI0PUxV|0.609|0.692|0.0259|0.0|116.959|0.0157|233720|1|0.0864|-2.958|1|3|audio_features|0.454
How Long|6wmAHw1szh5RCKSRjiXhPe|0.845|0.561|0.0778|3.49e-06|109.974|0.211|200853|1|0.0383|-5.253|0|4|audio_features|0.811
Keep An Eye On Dan|1OC16r1BdQO6hK2iqmvwXF|0.67|0.591|0.0266|0.000484|115.977|0.728|245053|2|0.134|-8.385|0|4|audio_features|0.407
Toxic|2gQPv5jvVPqU2a9HhMNO1v|0.594|0.612|0.363|0.0|179.629|0.835|168020|8|0.461|-6.627|0|4|audio_features|0.687
One Dance|1zi7xx7UVEFkmKfv06H8x0|0.792|0.625|0.0536|0.0018|103.967|0.00776|173987|1|0.329|-5.609|1|4|audio_features|0.37
Sleigh Ride (with Percy Faith & His Orchestra)|6XAdcAseYtijN0QUnQFsH2|0.605|0.663|0.0274|0.0|103.18|0.699|178720|1|0.121|-8.949|1|4|audio_features|0.893
SYGL (feat. Shindy)|1tUF7dEhqmV2Z1pTsGAGnD|0.558|0.416|0.453|0.000494|184.413|0.721|152595|9|0.142|-9.667|0|4|audio_features|0.774
Extra Luv (feat. YG)|1tlBuoIRrtqFs9bE9dmli5|0.831|0.573|0.221|0.000883|100.015|0.188|246173|4|0.109|-6.408|0|4|audio_features|0.229
Jump (with Trippie Redd)|2OvV4NjEBRE9v8Oo7QeUCq|0.654|0.547|0.127|0.0|173.981|0.25|207857|10|0.0961|-6.598|1|4|audio_features|0.507
IDGAF|76cy1WJvNGJTj78UqeA5zr|0.836|0.544|0.0943|0.0|97.028|0.0403|217947|7|0.0824|-5.975|1|4|audio_features|0.51
The Truth|4NmOJQxl9UZItUQQtMDYBb|0.629|0.539|0.063|0.0|109.885|0.166|193747|7|0.189|-7.006|0|4|audio_features|0.316
Say My Name|0YammaEkYSeo9vQYZ1OwS6|0.703|0.66|0.123|0.0|95.031|0.137|198947|10|0.192|-5.119|0|4|audio_features|0.79
Fortunate Son|4BP3uh0hFLFRb5cjsgLqDh|0.64|0.663|0.0374|0.00806|132.77|0.201|140773|0|0.152|-7.516|1|4|audio_features|0.663
Shadow of the Day|2zjEMw9kkROEbAxIXk6Ivp|0.534|0.393|0.0292|0.0107|110.007|0.00479|290360|11|0.107|-7.813|1|4|audio_features|0.0641
Youth feat. Khalid|5SwEgzUFDHwpWHKrbnP32Z|0.518|0.596|0.124|0.0|100.28|0.569|190867|6|0.133|-6.653|0|4|audio_features|0.326
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)|7z4xW9WY86uH3gd1V9pfCM|0.827|0.571|0.366|0.0|142.034|0.0195|146419|11|0.166|-7.949|1|4|audio_features|0.62
Selfish Love (with Selena Gomez)|3XoflnowYPFRPOh3uFvHcm|0.723|0.646|0.102|0.352|110.971|0.0206|168649|5|0.0994|-7.973|0|4|audio_features|0.443
Under The Mistletoe|2K4XbdyLxi9jhqVQeyUKRK|0.437|0.802|0.111|0.0|178.137|0.0168|225688|2|0.086|-5.063|1|4|audio_features|0.704
I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii|14boA065HMHWvqyPPEeN4y|0.767|0.561|0.0509|0.0|90.021|0.118|192229|2|0.0737|-7.418|0|4|audio_features|0.542
Back (feat. Lil Yachty)|32zhF8yXc1lej5EcudJXp7|0.775|0.559|0.0474|0.0|129.014|0.0102|197209|2|0.116|-8.149|1|4|audio_features|0.489
Take What You Want (feat. Ozzy Osbourne & Travis Scott)|4Yq3XUNfWrAPWuB94qkC09|0.499|0.8|0.0502|0.0|139.919|0.0906|229573|1|0.147|-2.665|0|4|audio_features|0.272
Stir Fry|2UVbBKQOdFAekPTRsnkzcf|0.817|0.816|0.269|0.0|181.982|0.00263|190288|2|0.159|-5.402|1|4|audio_features|0.508
Real Friends|3iq9nhbI8fcnNamxMft1uv|0.726|0.304|0.131|0.0|91.97|0.839|214387|3|0.0853|-8.677|1|4|audio_features|0.813
Saturnz Barz (feat. Popcaan)|7l9CE3wmEGOUYw1j4ETjnL|0.383|0.621|0.113|0.0|80.051|0.0272|181907|6|0.427|-5.878|0|4|audio_features|0.213
Tesla (feat. Sfera Ebbasta & DrefGold)|093RgZ7RXHZwIrxZhZYX4Q|0.854|0.626|0.0618|0.0|140.05|0.316|185147|11|0.0961|-5.14|1|4|audio_features|0.377
BOOKER T|26w9NTiE9NGjW1ZvIOd1So|0.883|0.6|0.37|7.94e-06|113.903|0.114|156430|7|0.0931|-7.188|1|4|audio_features|0.691
Fiebre (feat. Wisin & Yandel)|0oFqlgK2LJ9eMlpGBCmRvf|0.748|0.849|0.14|0.0|93.994|0.0728|230013|0|0.351|-3.24|1|4|audio_features|0.621
Location|152lZdxL1OR0ZMW6KquMif|0.736|0.449|0.425|0.000162|80.126|0.33|219080|1|0.0898|-11.462|0|4|audio_features|0.326
Chillax (feat. Ky-Mani Marley)|1lxswgIpzV6HhENRvkflES|0.827|0.646|0.0766|0.0|92.057|0.0724|197840|1|0.247|-4.727|0|4|audio_features|0.512
Moonlight|5uHrWZqndnheP1qtYr6xGC|0.689|0.729|0.225|0.0|97.057|0.273|163016|7|0.059|-5.801|1|4|audio_features|0.773
...Ready For It?|19WjVVgXjdKXfLXoaDPwTM|0.616|0.77|0.142|0.0|160.049|0.0573|208198|2|0.159|-6.5|1|4|audio_features|0.412
Olha a Explosão|6m2LNopVJKsvBB9l7Z1rwn|0.774|0.611|0.134|0.0|89.995|0.109|161593|6|0.0805|-2.883|1|4|audio_features|0.388
YAYA|6EfBMJQwe2xLgldra6DaYp|0.672|0.733|0.0566|0.0|105.043|0.00289|149857|11|0.199|-5.377|1|4|audio_features|0.354
Glittery - From The Kacey Musgraves Christmas Show|4dFtIGQBrYjiskk7fN5Wmx|0.509|0.307|0.0307|0.0|85.471|0.874|143467|1|0.701|-9.616|0|4|audio_features|0.392
Jail pt 2|7f1w2rZoIf7g56McEUTh5W|0.7|0.572|0.0515|0.0|109.985|0.453|297000|4|0.0871|-6.459|1|4|audio_features|0.686
love language|6NYtLvyThMT0oALFdJFdzq|0.688|0.573|0.208|0.0|110.034|0.0686|179861|10|0.0749|-5.03|0|4|audio_features|0.553
A Lie|1vVNlXi8gf8tZ7OhnEs4VE|0.516|0.792|0.216|0.0|121.189|0.0235|226790|1|0.404|-5.38|0|5|audio_features|0.524
Jangueo|7KKh0ujp8agIiCrkiJhf81|0.863|0.728|0.0586|9.14e-06|93.035|0.396|231745|7|0.0902|-2.954|1|4|audio_features|0.649
Keanu Reeves|25F6MWrnFBCXVnpN4n76EK|0.71|0.888|0.235|0.0|170.193|0.0591|225987|2|0.134|-6.457|1|4|audio_features|0.816
Loverboy|0qXP5fMhxGzxALOkXYUxfP|0.604|0.466|0.0315|0.0334|120.045|0.649|224520|0|0.093|-10.093|1|4|audio_features|0.499
CIVIL WAR - Bonus|5tmu5pAFHkUSl8Fo8ncyA4|0.913|0.608|0.259|0.0|101.002|0.116|143880|7|0.109|-6.764|1|4|audio_features|0.496
Índigo|4knc1Fp3kbuq8bH2byOvLu|0.748|0.779|0.0342|3.96e-05|128.91|0.00884|214933|0|0.113|-6.659|1|4|audio_features|0.928
Roses (with Juice WRLD feat. Brendon Urie)|1KVczjazCcCCgM3gXXUl47|0.612|0.601|0.164|0.0|147.018|0.168|223543|8|0.117|-7.089|1|4|audio_features|0.525
range brothers (with Kendrick Lamar)|0UTyLmkQgPOEIz95OVAJTR|0.667|0.582|0.267|0.0|121.972|0.00466|316733|11|0.124|-5.791|0|4|audio_features|0.141
EL BAÑO (feat. Bad Bunny)|2vvdTrdryjsl8DmPIMDWZU|0.71|0.888|0.0382|0.0|90.009|0.259|214520|6|0.0969|-3.036|0|4|audio_features|0.626
Ao Vivo E A Cores|2Ab1wPTEqulaCGoBak1gUo|0.668|0.526|0.0352|0.0|135.032|0.0131|180304|5|0.147|-6.174|0|4|audio_features|0.42
Million Reasons|50PWlIBU7PlGGwzgN8TiFJ|0.668|0.449|0.0451|0.0|129.889|0.477|205280|0|0.107|-7.897|1|4|audio_features|0.154
Constant Bullshit|1luvsaicSpNDRLgOtRZxWO|0.438|0.54|0.0519|0.0|118.581|0.223|197094|4|0.141|-9.456|0|4|audio_features|0.389
1000 Doves|62hTXlVQacy3pjBW4ntRPl|0.668|0.826|0.0383|1.07e-05|122.973|0.0236|215480|9|0.474|-4.466|1|4|audio_features|0.388
Patek Water (feat. Offset)|7r6LNJT2LqpLpEyZQJPygt|0.86|0.561|0.185|0.0|152.984|0.274|189480|6|0.108|-5.757|0|4|audio_features|0.354
A Violent Noise|661bbtA19xopO3lH0J4Qvr|0.549|0.423|0.0373|0.172|119.345|0.745|227467|0|0.127|-8.885|0|4|audio_features|0.144
Goutte d'eau|5ojNTROUJJgCFFbdD3xTZn|0.663|0.685|0.163|0.0|137.834|0.678|157076|5|0.122|-6.163|0|4|audio_features|0.312
Mad Stalkers|6HR1z11h0ROUlWP4Kx8Z7G|0.9|0.365|0.236|0.185|135.004|0.147|202667|10|0.179|-6.395|0|4|audio_features|0.136
Sunflower - Spider-Man: Into the Spider-Verse|3KkXRkHbMCARz0aVfEt68P|0.76|0.479|0.0466|0.0|89.911|0.556|158040|2|0.0703|-5.574|1|4|audio_features|0.913
Loco Contigo (with J. Balvin & Tyga)|1f38Gx6xQz6r4H1jGVNBJo|0.822|0.743|0.0567|2.31e-06|96.025|0.285|185195|6|0.102|-3.04|0|4|audio_features|0.355
Cuando Te Besé|2XXMDz7SPZ4mSFN1PXfHUy|0.772|0.732|0.213|5.14e-06|100.048|0.307|254383|9|0.106|-3.713|0|4|audio_features|0.295
